"","MMSI","LON","LAT"
"1",368084090,-89.99243,29.93174
"2",368140160,-87.14429,30.33475
"3",366941830,-94.79702,29.30919
"4",316005971,-84.35674,46.50268
"5",316004054,-84.37506,46.50326
"6",366863870,-72.35814,41.08748
"7",368118150,-122.32991,47.39789
"8",338379253,-117.89591,33.61997
"9",368195460,-122.32987,37.6433
"10",367614790,-157.8782,21.31673
"11",316005971,-84.35796,46.50254
"12",368084090,-89.99446,29.93265
"13",368195460,-122.3297,37.64447
"14",368084090,-89.99626,29.93374
"15",368084090,-89.99808,29.93495
"16",316005971,-84.35907,46.50243
"17",366863870,-72.35795,41.08943
"18",367614790,-157.87819,21.31673
"19",316004054,-84.37512,46.50312
"20",366863870,-72.35822,41.08767
"21",316004054,-84.37494,46.5033
"22",316004054,-84.37532,46.50296
"23",366863870,-72.35756,41.09332
"24",368140160,-87.14429,30.33475
"25",368118150,-122.32992,47.39789
"26",316005971,-84.3598,46.50235
"27",366863870,-72.35747,41.09148
"28",368195460,-122.33082,37.64577
"29",368084090,-89.99989,29.93616
"30",316004054,-84.37526,46.50302
"31",368084090,-90.00353,29.93852
"32",316005971,-84.36235,46.50216
"33",316005971,-84.36049,46.50228
"34",366941830,-94.797,29.30916
"35",368195460,-122.33193,37.64703
"36",368084090,-90.00169,29.9373
"37",368084090,-90.0054,29.93972
"38",367614790,-157.87819,21.31672
"39",366941830,-94.79595,29.30949
"40",316004054,-84.37536,46.50292
"41",366941830,-94.79692,29.30941
"42",368140160,-87.14429,30.33475
"43",366863870,-72.35738,41.09548
"44",368118150,-122.32995,47.3979
"45",316005971,-84.36135,46.50223
"46",316004054,-84.37535,46.50291
"47",368195460,-122.34017,37.64763
"48",368118150,-122.32994,47.39788
"49",316005971,-84.36592,46.50196
"50",366863870,-72.3575,41.09764
"51",316004054,-84.37515,46.50281
"52",367614790,-157.87819,21.31674
"53",368195460,-122.3361,37.64792
"54",316004054,-84.37528,46.50287
"55",316005971,-84.36355,46.50212
"56",368084090,-90.01046,29.94334
"57",366941830,-94.79592,29.30952
"58",366863870,-72.35824,41.09913
"59",368195460,-122.34202,37.64788
"60",338379253,-117.89589,33.61997
"61",368084090,-90.00712,29.94099
"62",316005971,-84.36479,46.50199
"63",316004054,-84.37443,46.50264
"64",366863870,-72.36049,41.0998
"65",316005971,-84.36871,46.50187
"66",368084090,-90.00864,29.94209
"67",368195460,-122.34195,37.64918
"68",368140160,-87.14429,30.33475
"69",366941830,-94.79608,29.30954
"70",316004054,-84.37498,46.50276
"71",366863870,-72.3615,41.09997
"72",368195460,-122.34202,37.65062
"73",366863870,-72.36149,41.09999
"74",368084090,-90.01616,29.94664
"75",316005971,-84.36723,46.50194
"76",368140160,-87.14429,30.33475
"77",368140160,-87.14429,30.33475
"78",366863870,-72.36147,41.10001
"79",368118150,-122.32992,47.39786
"80",316004054,-84.37477,46.50269
"81",368084090,-90.0123,29.94453
"82",368084090,-90.01789,29.94748
"83",366941830,-94.79607,29.30945
"84",367614790,-157.87819,21.31672
"85",338379253,-117.89589,33.61998
"86",338379253,-117.8959,33.61997
"87",366863870,-72.36011,41.09966
"88",316005971,-84.37242,46.50175
"89",366863870,-72.36146,41.09997
"90",368084090,-90.0142,29.94556
"91",316005971,-84.37042,46.5018
"92",316004054,-84.37153,46.50283
"93",368118150,-122.32993,47.39787
"94",316004054,-84.36993,46.50229
"95",367614790,-157.87819,21.31672
"96",366863870,-72.35935,41.09843
"97",368195460,-122.34003,37.65907
"98",316004054,-84.37226,46.50169
"99",367614790,-157.8782,21.31672
"100",368195460,-122.34135,37.65362
"101",316005971,-84.37476,46.50181
"102",368084090,-90.01994,29.94838
"103",368195460,-122.34103,37.6552
"104",316004054,-84.37102,46.50168
"105",368195460,-122.34058,37.65675
"106",366863870,-72.35915,41.09236
"107",316005971,-84.37139,46.5018
"108",366863870,-72.36145,41.09998
"109",316005971,-84.37763,46.50216
"110",368084090,-90.022,29.94925
"111",368140160,-87.14429,30.33475
"112",368195460,-122.33968,37.66145
"113",316005971,-84.37936,46.50244
"114",316004054,-84.37709,46.50207
"115",316004054,-84.37378,46.50176
"116",366863870,-72.35898,41.09658
"117",316005971,-84.37606,46.50198
"118",366941830,-94.79639,29.31021
"119",366941830,-94.7961,29.30947
"120",366863870,-72.35899,41.09005
"121",316004054,-84.3791,46.50239
"122",368195460,-122.34002,37.66495
"123",368084090,-90.02622,29.95096
"124",316005971,-84.3828,46.50228
"125",368084090,-90.03027,29.95235
"126",316005971,-84.38119,46.50243
"127",368195460,-122.33988,37.66317
"128",316004054,-84.37539,46.50188
"129",316005971,-84.37343,46.50175
"130",338379253,-117.89589,33.61996
"131",368140160,-87.1443,30.33475
"132",368195460,-122.34007,37.66762
"133",366863870,-72.35885,41.09454
"134",368118150,-122.32996,47.39787
"135",338379253,-117.8959,33.61997
"136",366941830,-94.7973,29.30987
"137",366863870,-72.35825,41.08752
"138",368118150,-122.32998,47.39786
"139",368084090,-90.02841,29.9517
"140",316005971,-84.38599,46.50178
"141",366941830,-94.79608,29.30958
"142",366941830,-94.7963,29.30986
"143",368195460,-122.33992,37.67017
"144",368084090,-90.02413,29.95013
"145",366863870,-72.35819,41.08759
"146",316004054,-84.38589,46.50186
"147",316004054,-84.3824,46.50247
"148",368084090,-90.03462,29.95371
"149",367614790,-157.87821,21.31669
"150",366863870,-72.35833,41.08805
"151",366941830,-94.79405,29.31074
"152",367614790,-157.87819,21.31672
"153",368118150,-122.32997,47.39789
"154",316004054,-84.38079,46.50261
"155",368195460,-122.33947,37.67305
"156",366941830,-94.7915,29.31193
"157",316004054,-84.38748,46.50158
"158",316005971,-84.39194,46.50033
"159",316005971,-84.38437,46.50205
"160",367614790,-157.8782,21.31671
"161",366941830,-94.79287,29.31123
"162",316005971,-84.39352,46.50004
"163",316005971,-84.39048,46.50077
"164",366863870,-72.35819,41.08758
"165",368084090,-90.04378,29.95667
"166",366863870,-72.35817,41.08752
"167",316004054,-84.38404,46.50227
"168",366941830,-94.79081,29.31214
"169",368084090,-90.03685,29.95448
"170",368084090,-90.04823,29.95723
"171",366863870,-72.35819,41.08758
"172",316005971,-84.38747,46.50148
"173",368084090,-90.0528,29.95696
"174",368084090,-90.03881,29.95503
"175",316004054,-84.39219,46.50027
"176",368118150,-122.32999,47.39789
"177",316004054,-84.38918,46.50106
"178",368195460,-122.33675,37.6835
"179",316005971,-84.39612,46.49926
"180",368084090,-90.05517,29.95665
"181",338379253,-117.89589,33.61997
"182",368195460,-122.33777,37.67948
"183",316005971,-84.38893,46.50111
"184",368084090,-90.05027,29.95719
"185",316004054,-84.39077,46.50078
"186",366941830,-94.78982,29.31339
"187",368195460,-122.33733,37.68102
"188",368084090,-90.04176,29.9559
"189",366941830,-94.79106,29.3121
"190",366863870,-72.3582,41.08757
"191",368084090,-90.03243,29.95301
"192",366863870,-72.35821,41.08752
"193",366863870,-72.35673,41.09311
"194",316005971,-84.39726,46.49913
"195",368195460,-122.33885,37.67552
"196",368195460,-122.3382,37.67808
"197",366941830,-94.78924,29.31426
"198",316004054,-84.3948,46.49982
"199",338379253,-117.8959,33.61998
"200",368084090,-90.04595,29.95707
"201",366941830,-94.79029,29.31268
"202",366863870,-72.35784,41.08891
"203",316004054,-84.39873,46.49933
"204",316004054,-84.39746,46.49907
"205",316004054,-84.3959,46.49925
"206",316004054,-84.39365,46.50004
"207",368084090,-90.05727,29.95643
"208",316005971,-84.3948,46.49965
"209",338379253,-117.89589,33.61997
"210",367614790,-157.8782,21.3167
"211",368084090,-90.06,29.95461
"212",316005971,-84.39847,46.49925
"213",316005971,-84.39927,46.49977
"214",368084090,-90.05894,29.95569
"215",368195460,-122.33618,37.6877
"216",368195460,-122.33648,37.68553
"217",368118150,-122.32998,47.39786
"218",366863870,-72.3569,41.09116
"219",316005971,-84.40013,46.50075
"220",366863870,-72.3615,41.10001
"221",368195460,-122.33585,37.6897
"222",368084090,-90.06042,29.94821
"223",366941830,-94.78752,29.31652
"224",316004054,-84.39925,46.49972
"225",368140160,-87.1443,30.33476
"226",366863870,-72.35874,41.09883
"227",367614790,-157.8782,21.31671
"228",316005971,-84.40091,46.50127
"229",368195460,-122.3354,37.69178
"230",368140160,-87.1443,30.33476
"231",316004054,-84.39939,46.50028
"232",368118150,-122.32996,47.39786
"233",338379253,-117.89589,33.61997
"234",316005971,-84.40056,46.50108
"235",366863870,-72.36149,41.09998
"236",316005971,-84.39979,46.50041
"237",368118150,-122.32996,47.39784
"238",368084090,-90.06035,29.95331
"239",316004054,-84.39929,46.50003
"240",367614790,-157.87819,21.31671
"241",366863870,-72.36149,41.09998
"242",366863870,-72.36069,41.09982
"243",368084090,-90.06039,29.94622
"244",368084090,-90.06042,29.95189
"245",316005971,-84.40137,46.5014
"246",368118150,-122.32998,47.39785
"247",368195460,-122.33565,37.69082
"248",316005971,-84.40035,46.50093
"249",316004054,-84.40022,46.50115
"250",367614790,-157.87819,21.31671
"251",368084090,-90.06043,29.95011
"252",366941830,-94.79527,29.31016
"253",368140160,-87.1443,30.33475
"254",316004054,-84.39991,46.50099
"255",368195460,-122.33423,37.69665
"256",368084090,-90.06049,29.94422
"257",316004054,-84.40061,46.50124
"258",368195460,-122.3351,37.6933
"259",316005971,-84.40238,46.50166
"260",366863870,-72.3596,41.09819
"261",316004054,-84.40157,46.50146
"262",368084090,-90.0602,29.93617
"263",316005971,-84.40288,46.50177
"264",366941830,-94.78607,29.31843
"265",366863870,-72.35929,41.09639
"266",366941830,-94.78631,29.31797
"267",368195460,-122.33258,37.70272
"268",366863870,-72.35901,41.09226
"269",316005971,-84.40203,46.5016
"270",316005971,-84.40306,46.50181
"271",316004054,-84.40101,46.50127
"272",368195460,-122.3322,37.7039
"273",316005971,-84.40303,46.5018
"274",368084090,-90.06037,29.94015
"275",368195460,-122.33345,37.69968
"276",366941830,-94.78612,29.3183
"277",316005971,-84.40324,46.50182
"278",368140160,-87.1443,30.33476
"279",316004054,-84.40176,46.50151
"280",338379253,-117.8959,33.61997
"281",366941830,-94.78609,29.3184
"282",368084090,-90.0605,29.94216
"283",366863870,-72.36148,41.10004
"284",368118150,-122.32993,47.39787
"285",338379253,-117.89591,33.61997
"286",368118150,-122.32993,47.3979
"287",368195460,-122.3329,37.70152
"288",368084090,-90.06034,29.93448
"289",316004054,-84.40166,46.50144
"290",366863870,-72.35819,41.08755
"291",368195460,-122.33113,37.70803
"292",368140160,-87.1443,30.33476
"293",368118150,-122.3299,47.39788
"294",368195460,-122.33087,37.71002
"295",316004054,-84.40183,46.50159
"296",368195460,-122.33077,37.71183
"297",366863870,-72.35912,41.09441
"298",368084090,-90.06457,29.92629
"299",368084090,-90.06326,29.92771
"300",316004054,-84.40168,46.50144
"301",316004054,-84.40182,46.5015
"302",368084090,-90.06073,29.93252
"303",366863870,-72.35824,41.08756
"304",367614790,-157.87821,21.31668
"305",367614790,-157.8782,21.31671
"306",316005971,-84.40324,46.50184
"307",316005971,-84.40323,46.50183
"308",368140160,-87.1443,30.33476
"309",367614790,-157.87821,21.31669
"310",316004054,-84.40176,46.50151
"311",316004054,-84.40179,46.50158
"312",368140160,-87.1443,30.33476
"313",368084090,-90.06923,29.92237
"314",366863870,-72.3582,41.08753
"315",368118150,-122.32993,47.39785
"316",316004054,-84.40177,46.50155
